Country,Country Code,Indicator Name,Indicator Code,2023,2024
Aruba,ABW,"Population, total",SP.POP.TOTL,107359,107624
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,750503764,769294618
Afghanistan,AFG,"Population, total",SP.POP.TOTL,41454761,42647492
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,509398589,521764076
Angola,AGO,"Population, total",SP.POP.TOTL,36749906,37885849
Albania,ALB,"Population, total",SP.POP.TOTL,2745972,2714617
Andorra,AND,"Population, total",SP.POP.TOTL,80856,81938
Arab World,ARB,"Population, total",SP.POP.TOTL,482105978,492579811
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,10483751,10876981
Argentina,ARG,"Population, total",SP.POP.TOTL,45538401,45696159
Armenia,ARM,"Population, total",SP.POP.TOTL,2964300,3033500
American Samoa,ASM,"Population, total",SP.POP.TOTL,47521,46765
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,93316,93772
Australia,AUS,"Population, total",SP.POP.TOTL,26652777,27204809
Austria,AUT,"Population, total",SP.POP.TOTL,9131761,9178482
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10153958,10202850
Burundi,BDI,"Population, total",SP.POP.TOTL,13689450,14047786
Belgium,BEL,"Population, total",SP.POP.TOTL,11787423,11876844
Benin,BEN,"Population, total",SP.POP.TOTL,14111034,14462724
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,23025776,23548781
Bangladesh,BGD,"Population, total",SP.POP.TOTL,171466990,173562364
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6446596,6444366
Bahrain,BHR,"Population, total",SP.POP.TOTL,1577059,1588670
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,399440,401283
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3185073,3164253
Belarus,BLR,"Population, total",SP.POP.TOTL,9178298,9133712
Belize,BLZ,"Population, total",SP.POP.TOTL,411106,417072
Bermuda,BMU,"Population, total",SP.POP.TOTL,64698,64636
Bolivia,BOL,"Population, total",SP.POP.TOTL,12244159,12413315
Brazil,BRA,"Population, total",SP.POP.TOTL,211140729,211998573
Barbados,BRB,"Population, total",SP.POP.TOTL,282336,282467
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,458949,462721
Bhutan,BTN,"Population, total",SP.POP.TOTL,786385,791524
Botswana,BWA,"Population, total",SP.POP.TOTL,2480244,2521139
Central African Republic,CAF,"Population, total",SP.POP.TOTL,5152421,5330690
Canada,CAN,"Population, total",SP.POP.TOTL,40083484,41288599
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,100175859,100050066
Switzerland,CHE,"Population, total",SP.POP.TOTL,8888093,9034102
